"(255, 255, 255)","(252, 252, 252)","(253, 253, 253)","(252, 252, 252)","(252, 252, 250)","(254, 254, 252)","(254, 254, 252)","(254, 254, 252)","(250, 250, 248)","(253, 253, 251)","(252, 253, 248)","(247, 248, 243)","(255, 255, 251)","(242, 243, 238)","(255, 255, 251)"
"(255, 255, 255)","(250, 250, 250)","(252, 252, 252)","(255, 255, 255)","(255, 255, 253)","(251, 251, 249)","(249, 249, 247)","(250, 250, 248)","(255, 255, 253)","(246, 246, 244)","(242, 243, 238)","(243, 244, 239)","(255, 255, 251)","(250, 251, 246)","(253, 254, 249)"
"(255, 255, 253)","(249, 249, 247)","(252, 252, 250)","(255, 255, 253)","(253, 253, 251)","(248, 248, 246)","(253, 253, 251)","(255, 255, 253)","(255, 255, 251)","(242, 243, 238)","(241, 242, 237)","(238, 239, 234)","(249, 250, 245)","(250, 251, 246)","(254, 255, 250)"
"(251, 251, 249)","(250, 250, 248)","(255, 255, 253)","(255, 255, 253)","(248, 248, 246)","(250, 250, 248)","(255, 255, 253)","(248, 248, 246)","(212, 213, 208)","(169, 170, 165)","(169, 170, 165)","(193, 194, 189)","(222, 223, 218)","(243, 244, 239)","(240, 241, 236)"
"(249, 249, 247)","(253, 253, 251)","(254, 254, 252)","(253, 253, 251)","(247, 247, 245)","(255, 255, 253)","(246, 247, 242)","(191, 192, 187)","(72, 73, 68)","(7, 8, 3)","(0, 1, 0)","(63, 64, 59)","(143, 144, 139)","(204, 205, 200)","(170, 171, 165)"
"(254, 254, 252)","(255, 255, 253)","(251, 251, 249)","(251, 251, 249)","(252, 252, 250)","(255, 255, 253)","(209, 210, 205)","(98, 99, 94)","(0, 1, 0)","(11, 12, 7)","(0, 1, 0)","(4, 5, 0)","(49, 50, 45)","(149, 150, 145)","(168, 169, 163)"
"(254, 254, 252)","(255, 255, 253)","(250, 250, 248)","(254, 254, 252)","(254, 254, 252)","(249, 249, 247)","(174, 175, 170)","(28, 29, 24)","(20, 21, 16)","(144, 145, 140)","(174, 175, 170)","(136, 137, 132)","(110, 111, 105)","(174, 175, 169)","(232, 233, 227)"
"(250, 250, 248)","(254, 254, 252)","(253, 253, 251)","(255, 255, 253)","(254, 254, 252)","(240, 240, 238)","(158, 159, 154)","(4, 5, 0)","(80, 81, 76)","(177, 178, 173)","(181, 182, 177)","(184, 185, 180)","(188, 189, 183)","(217, 218, 212)","(253, 254, 248)"
"(254, 252, 255)","(255, 254, 255)","(255, 254, 255)","(255, 255, 253)","(255, 255, 250)","(243, 242, 237)","(134, 134, 126)","(13, 13, 5)","(26, 26, 16)","(122, 122, 112)","(151, 151, 143)","(158, 157, 153)","(188, 187, 183)","(224, 222, 223)","(251, 249, 250)"
"(253, 251, 255)","(250, 248, 253)","(252, 250, 253)","(253, 252, 250)","(252, 251, 246)","(224, 223, 218)","(85, 85, 77)","(1, 1, 0)","(2, 2, 0)","(1, 1, 0)","(25, 25, 17)","(44, 43, 39)","(122, 121, 117)","(203, 201, 202)","(255, 254, 255)"
"(255, 254, 255)","(251, 249, 254)","(251, 249, 250)","(254, 252, 253)","(254, 253, 249)","(219, 218, 214)","(61, 61, 53)","(9, 9, 1)","(1, 1, 0)","(76, 76, 68)","(109, 109, 101)","(41, 40, 36)","(25, 24, 20)","(173, 171, 172)","(236, 234, 235)"
"(254, 252, 255)","(253, 251, 255)","(252, 250, 251)","(255, 254, 255)","(255, 255, 251)","(222, 221, 217)","(63, 63, 55)","(1, 1, 0)","(55, 55, 47)","(201, 201, 193)","(208, 208, 200)","(165, 164, 160)","(40, 39, 35)","(100, 98, 99)","(212, 210, 211)"
"(249, 247, 250)","(255, 254, 255)","(246, 244, 245)","(255, 253, 254)","(249, 248, 244)","(232, 231, 227)","(110, 109, 104)","(10, 9, 4)","(147, 147, 139)","(215, 215, 207)","(238, 238, 230)","(183, 182, 178)","(61, 60, 56)","(103, 101, 102)","(216, 214, 215)"
"(249, 247, 250)","(255, 254, 255)","(249, 247, 248)","(254, 252, 253)","(248, 247, 243)","(241, 240, 236)","(159, 158, 153)","(25, 24, 19)","(136, 136, 128)","(228, 228, 220)","(226, 226, 218)","(162, 161, 157)","(49, 48, 44)","(110, 108, 109)","(219, 217, 218)"
"(247, 245, 248)","(251, 249, 252)","(255, 254, 255)","(255, 254, 255)","(255, 255, 253)","(243, 242, 240)","(179, 178, 174)","(35, 34, 30)","(16, 15, 10)","(152, 151, 146)","(176, 175, 171)","(87, 86, 82)","(26, 25, 23)","(176, 175, 173)","(220, 219, 217)"
"(255, 254, 255)","(247, 245, 248)","(253, 251, 252)","(247, 245, 246)","(255, 254, 252)","(255, 254, 252)","(224, 223, 219)","(103, 102, 98)","(1, 0, 0)","(4, 3, 0)","(3, 2, 0)","(9, 8, 4)","(70, 69, 67)","(199, 198, 196)","(251, 250, 248)"
"(255, 254, 255)","(255, 253, 255)","(254, 252, 253)","(255, 253, 254)","(255, 255, 253)","(255, 255, 253)","(243, 242, 240)","(226, 225, 223)","(99, 98, 94)","(16, 15, 11)","(1, 0, 0)","(66, 65, 61)","(186, 185, 183)","(241, 240, 238)","(250, 249, 247)"
"(255, 253, 255)","(255, 253, 255)","(253, 251, 252)","(251, 249, 250)","(253, 252, 250)","(255, 254, 252)","(251, 250, 248)","(245, 244, 242)","(246, 245, 241)","(209, 208, 204)","(204, 203, 199)","(223, 222, 218)","(255, 255, 253)","(255, 255, 253)","(255, 254, 252)"
"(253, 251, 254)","(255, 254, 255)","(255, 253, 254)","(252, 250, 251)","(250, 248, 249)","(253, 251, 252)","(255, 255, 253)","(255, 255, 253)","(251, 250, 248)","(247, 246, 244)","(255, 254, 252)","(254, 253, 251)","(255, 255, 253)","(250, 249, 247)","(255, 254, 252)"
"(252, 250, 253)","(255, 254, 255)","(255, 254, 255)","(255, 254, 255)","(254, 252, 253)","(252, 250, 251)","(253, 252, 250)","(254, 253, 251)","(255, 255, 253)","(254, 253, 251)","(252, 251, 249)","(249, 248, 246)","(253, 252, 250)","(254, 253, 251)","(255, 255, 253)"
"(253, 251, 252)","(253, 251, 252)","(255, 253, 254)","(255, 254, 255)","(255, 254, 255)","(254, 252, 253)","(251, 249, 250)","(250, 248, 249)","(254, 252, 253)","(253, 251, 252)","(252, 251, 249)","(255, 255, 253)","(255, 255, 253)","(255, 255, 253)","(255, 254, 252)"
"(255, 253, 254)","(251, 249, 250)","(250, 248, 249)","(253, 251, 252)","(255, 254, 255)","(255, 253, 254)","(254, 252, 253)","(254, 252, 253)","(253, 251, 252)","(254, 252, 253)","(249, 248, 246)","(255, 255, 253)","(254, 253, 251)","(253, 252, 250)","(248, 247, 245)"
"(255, 254, 255)","(252, 250, 251)","(250, 248, 249)","(253, 251, 252)","(255, 253, 255)","(254, 252, 255)","(255, 253, 254)","(255, 254, 255)","(255, 253, 254)","(255, 254, 255)","(245, 243, 244)","(252, 250, 251)","(251, 250, 248)","(255, 255, 253)","(250, 249, 247)"
"(255, 254, 255)","(254, 252, 253)","(255, 253, 254)","(255, 254, 255)","(255, 254, 255)","(253, 251, 254)","(252, 250, 251)","(255, 254, 255)","(246, 244, 245)","(255, 254, 255)","(251, 249, 250)","(255, 254, 255)","(251, 250, 248)","(255, 255, 253)","(248, 247, 245)"
